Type,PDB,Metal,Angle,Degrees,atomNames,resNames,resNums,chains,occs,Environment
Mineral,Jacquesdietrichite_0007064.Cu_6_6_A.oct.pdb,CU,O_CU_O,178.8,O1_CU_O1,UNK_UNK_UNK,1_6_16, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Chalcophanite_0001204.Mn_5_5_A.oct.pdb,MN,O_MN_O,96.63,O2_MN_O1,UNK_UNK_UNK,22_5_33, _A_ ,1.0_1.0_1.0,MN1O6
Mineral,Calderite_0018998.Mn_13_13_A.cub.pdb,MN,O_MN_O,123.35,O_MN_O,UNK_UNK_UNK,40_13_44, _A_ ,1.0_1.0_1.0,MN1O8
Mineral,Sewardite_0005788.Fe_1_1_A.oct.pdb,FE,O_FE_O,93.41,O4_FE_O-H6,UNK_UNK_UNK,46_1_14, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Sidorenkite_0015607.Mn_1_1_A.irr.pdb,MN,O_MN_O,92.64,O5_MN_O4,UNK_UNK_UNK,30_1_7, _A_ ,1.0_1.0_1.0,MN1C1O6
Mineral,Briartite_0014274.Cu_2_2_A.tet.pdb,CU,S_CU_S,109.96,S_CU_S,UNK_UNK_UNK,13_2_15, _A_ ,1.0_1.0_1.0,CU1S4
Mineral,Coulsonite_0015774.V_19_19_A.irr.pdb,V,O_V_O,84.62,O_V_O,UNK_UNK_UNK,4_19_3, _A_ ,1.0_1.0_1.0,V1O3
Mineral,Sewardite_0005788.Fe_1_1_A.oct.pdb,FE,O_FE_O,89.52,O4_FE_O-H7,UNK_UNK_UNK,46_1_5, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Wherryite_0005365.Cu_21_21_A.oct.pdb,CU,O_CU_O,83.6,O10_CU_O7,UNK_UNK_UNK,71_21_65, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Briartite_0014274.Cu_2_2_A.tet.pdb,CU,S_CU_S,109.22,S_CU_S,UNK_UNK_UNK,13_2_9, _A_ ,1.0_1.0_1.0,CU1S4
Mineral,Jarosite_0014420.Fe_40_40_A.irr.pdb,FE,O_FE_O,87.16,O-H_FE_O2,UNK_UNK_UNK,14_40_24, _A_ ,1.0_1.0_1.0,FE1O3
Mineral,Calderite_0018998.Mn_13_13_A.cub.pdb,MN,O_MN_O,92.31,O_MN_O,UNK_UNK_UNK,40_13_35, _A_ ,1.0_1.0_1.0,MN1O8
Mineral,Sewardite_0005788.Fe_1_1_A.oct.pdb,FE,O_FE_O,168.72,O4_FE_O2,UNK_UNK_UNK,46_1_62, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Coulsonite_0015774.V_19_19_A.irr.pdb,V,O_V_O,84.62,O_V_O,UNK_UNK_UNK,4_19_15, _A_ ,1.0_1.0_1.0,V1O3
Mineral,Briartite_0014274.Cu_2_2_A.tet.pdb,CU,S_CU_S,109.23,S_CU_S,UNK_UNK_UNK,15_2_9, _A_ ,1.0_1.0_1.0,CU1S4
Mineral,Hyttsjoite_0001799.Mn_382_382_A.trv.pdb,MN,O_MN_O,102.34,O14_MN_O2,UNK_UNK_UNK,194_382_189, _A_ ,1.0_1.0_1.0,MN1O2
Mineral,Wherryite_0005365.Cu_21_21_A.oct.pdb,CU,O_CU_O,96.4,O10_CU_O7,UNK_UNK_UNK,71_21_61, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Jacquesdietrichite_0007064.Cu_6_6_A.oct.pdb,CU,O_CU_O,81.04,O3_CU_O4,UNK_UNK_UNK,9_6_17, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Sewardite_0005788.Fe_1_1_A.oct.pdb,FE,O_FE_O,98.72,O4_FE_O5,UNK_UNK_UNK,46_1_4, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Calderite_0018998.Mn_13_13_A.cub.pdb,MN,O_MN_O,111.93,O_MN_O,UNK_UNK_UNK,32_13_48, _A_ ,1.0_1.0_1.0,MN1O8
Mineral,Jarosite_0014420.Fe_40_40_A.irr.pdb,FE,O_FE_O,87.46,O-H_FE_O-H,UNK_UNK_UNK,14_40_6, _A_ ,1.0_1.0_1.0,FE1O3
Mineral,Jacquesdietrichite_0007064.Cu_6_6_A.oct.pdb,CU,O_CU_O,175.51,O3_CU_O5,UNK_UNK_UNK,9_6_11, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Pyrobelonite_0000071.V_2_2_A.tet.pdb,V,O_V_O,105.47,O2_V_O1,UNK_UNK_UNK,4_2_3, _A_ ,1.0_1.0_1.0,V1O4
Mineral,Coulsonite_0015774.V_19_19_A.irr.pdb,V,O_V_O,84.62,O_V_O,UNK_UNK_UNK,3_19_15, _A_ ,1.0_1.0_1.0,V1O3
Mineral,Sewardite_0005788.Fe_1_1_A.oct.pdb,FE,O_FE_O,89.21,O1_FE_O-H6,UNK_UNK_UNK,53_1_14, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Joteite_0019980.Cu_19_19_A.spl.pdb,CU,O_CU_O,174.01,O-H_CU_O-H,UNK_UNK_UNK,30_19_31, _A_ ,1.0_1.0_1.0,CU1O4
Mineral,Jarosite_0014420.Fe_40_40_A.irr.pdb,FE,O_FE_O,87.14,O2_FE_O-H,UNK_UNK_UNK,24_40_6, _A_ ,1.0_1.0_1.0,FE1O3
Mineral,Wherryite_0005365.Cu_21_21_A.oct.pdb,CU,O_CU_O,84.21,O10_CU_O1,UNK_UNK_UNK,71_21_5, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Corkite_0014810.Fe_45_45_A.irr.pdb,FE,O_FE_O,88.57,O2S_FE_O-H2,UNK_UNK_UNK,37_45_17, _A_ ,1.0_1.0_1.0,FE1O3
Mineral,Calderite_0018998.Mn_13_13_A.cub.pdb,MN,O_MN_O,92.33,O_MN_O,UNK_UNK_UNK,32_13_17, _A_ ,1.0_1.0_1.0,MN1O8
Mineral,Sewardite_0005788.Fe_1_1_A.oct.pdb,FE,O_FE_O,91.7,O1_FE_O-H7,UNK_UNK_UNK,53_1_5, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Chalcophanite_0001204.Mn_5_5_A.oct.pdb,MN,O_MN_O,81.35,O1_MN_O3,UNK_UNK_UNK,6_5_7, _A_ ,1.0_1.0_1.0,MN1O6
Mineral,Bornite_0003822.Fe_18_18_A.tet.pdb,FE,S_FE_S,109.45,S_FE_S,UNK_UNK_UNK,5_18_63, _A_ ,1.0_1.0_1.0,FE1S4
Mineral,Pyrobelonite_0000071.V_2_2_A.tet.pdb,V,O_V_O,107.04,O2_V_O4,UNK_UNK_UNK,4_2_6, _A_ ,1.0_1.0_1.0,V1O4
