Mineral_Name,Mineral_Name_plain,Mineral_Name_(HTML),Structural_Groupname,Valence_Elements,Oldest_Known_Age_Ma,Fe_AMCSD,Co_AMCSD,Cu_AMCSD,Mn_AMCSD,Mo_AMCSD,Ni_AMCSD,V_AMCSD,W_AMCSD,Zn_AMCSD,Retrieved(Y/N)
,Cornubite,Cornubite,,Cu^2+ As^5+ O H,1790,NA,,,,,,,,,
,Haggite,Haggite,,V^3+ V^4+ O H,1750,NA,,,,,,,,,
,Metarossite,Metarossite,,Ca V^5+ O H,1750,NA,,,,,,,,,
,Rossite,Rossite,,Ca V^5+ O H,1750,NA,,,,,,,,,
,Bechererite,Bechererite,,Zn^2+ Cu^2+ O H Si S^6+,1703,NA,,,,,,,,,
,Boleite,Boleite,,K Ag^1+ Pb^2+ Cu^2+ Cl O H,1703,NA,,,,,,,,,
,Ehrleite,Ehrleite,,Ca Zn^2+ Be P^5+ O H,1702,NA,,,,,,,,,
,Pararobertsite,Pararobertsite,,Ca Mn^3+ O P H,1702,NA,,,,,,,,,
,Parascholzite,Parascholzite,,Ca Zn^2+ P^5+ O H,1702,NA,,,,,,,,,
,Sinkankasite,Sinkankasite,,Mn^2+ Al P O H,1700,NA,,,,,,,,,
,Poitevinite,Poitevinite,,Cu^2+ S O H,1655,NA,,,,,,,,,
,Reichenbachite,Reichenbachite,,Cu^2+ P^5+ O H,1640,NA,,,,,,,,,
,Roxbyite,Roxbyite,,Cu S,1600,NA,,,,,,,,,
,Cloncurryite,Cloncurryite,,Cu^2+ V^4+ O Al P^5+ F H,1575,NA,,,,,,,,,
,Cornetite,Cornetite,,Cu^2+ P^5+ O H,1575,NA,,,,,,,,,
,Likasite,Likasite,,Cu^2+ N^5+ O H,1575,NA,,,,,,,,,
,Spertiniite,Spertiniite,,Cu^2+ O H,1575,NA,,,,,,,,,
,Tungstite,Tungstite,,W O H,1575,NA,,,,,,,,,
,Phoenicochroite,Phoenicochroite,,Pb^2+ O Cr^6+,1450.025,NA,,,,,,,,,
,Cianciulliite,Cianciulliite,,Mg Mn^2+ Zn^2+ O H,1349,NA,,,,,,,,,
,Clinohedrite,Clinohedrite,,Ca Zn^2+ Si O H,1349,NA,,,,,,,,,
,Hodgkinsonite,Hodgkinsonite,,Zn^2+ Mn^2+ Si O H,1349,NA,,,,,,,,,
,Holdenite,Holdenite,,Mn^2+ Zn^2+ As^5+ O Si H,1349,NA,,,,,,,,,
,Junitoite,Junitoite,,Ca Zn^2+ Si O H,1349,NA,,,,,,,,,
,Kolicite,Kolicite,,Zn^2+ Mn^2+ As^5+ O Si H,1349,NA,,,,,,,,,
,Larsenite,Larsenite,,Pb^2+ Zn^2+ Si O,1349,NA,,,,,,,,,
,Loseyite,Loseyite,,Mn^2+ Zn^2+ C O H,1349,NA,,,,,,,,,
,Macfallite,Macfallite,,Ca Mn^3+ Si O H,1349,NA,,,,,,,,,
,Roweite,Roweite,,Ca Mn^2+ B O H,1349,NA,,,,,,,,,
,Sclarite,Sclarite,,Zn^2+ C O H,1349,NA,,,,,,,,,
,Woodruffite,Woodruffite,,Zn^2+ Mn^4+ O H,1349,NA,,,,,,,,,
,Euchroite,Euchroite,,Cu^2+ As^5+ O H,1180,NA,,,,,,,,,
,Gerstmannite,Gerstmannite,,Mn^2+ Mg Zn^2+ Si O H,1180,NA,,,,,,,,,
,Lawsonbauerite,Lawsonbauerite,,Mn^2+ Zn^2+ S^6+ O H,1180,NA,,,,,,,,,
,Liroconite,Liroconite,,Cu^2+ Al As^5+ O H,1180,NA,,,,,,,,,
,Niahite,Niahite,,N^3- H Mn^2+ P O,1180,NA,,,,,,,,,
,Reinerite,Reinerite,,Zn^2+ As^3+ O,1180,NA,,,,,,,,,
,Shattuckite,Shattuckite,,Cu^2+ Si O H,1110,NA,,,,,,,,,
,Vasilite,Vasilite,,Pd Cu S Te,1109,NA,,,,,,,,,
,Callaghanite,Callaghanite,,Cu^2+ Mg C O H,1080,NA,,,,,,,,,
,Kinoite,Kinoite,,Ca Cu^2+ Si O H,1080,NA,,,,,,,,,
,Orientite,Orientite,,Ca Mn^3+ Si O H,1060,NA,,,,,,,,,
,Colinowensite,Colinowensite,,Ba Cu^2+ Si O,1054,NA,,,,,,,,,
,Diegogattaite,Diegogattaite,,Na Ca Cu^2+ Si O H,1054,NA,,,,,,,,,
,Scottyite,Scottyite,,Ba Cu^2+ Si O,1054,NA,,,,,,,,,
,Taikanite,Taikanite,,Ba Sr Mn^3+ O Si,1054,NA,,,,,,,,,
,Vonbezingite,Vonbezingite,,Ca Cu^2+ S^6+ O H,1054,NA,,,,,,,,,
,Sinnerite,Sinnerite,,Cu As S,1022,NA,,,,,,,,,
,Lindgrenite,Lindgrenite,,Cu^2+ Mo^6+ O H,1019,NA,,,,,,,,,
,Zincostaurolite,Zincostaurolite,,Zn^2+ Al Si O H,1000,NA,,,,,,,,,
,Dukeite,Dukeite,,Bi^3+ Cr^6+ O H,960,NA,,,,,,,,,
,Attakolite,Attakolite,,Ca Mn^2+ Al H Si O P,950,NA,,,,,,,,,
,Samuelsonite,Samuelsonite,,Ca Mn^2+ Al P O H,950,NA,,,,,,,,,
,Agaite,Agaite,,Pb^2+ Cu^2+ Te^6+ O H C,946,NA,,,,,,,,,
,Bairdite,Bairdite,,Pb Cu^2+ Te^6+ O H S^6+,946,NA,,,,,,,,,
,Eckhardite,Eckhardite,,Ca Pb^2+ Cu^2+ Te^6+ O H,946,NA,,,,,,,,,
,Frankhawthorneite,Frankhawthorneite,,Cu^2+ Te^6+ O H,946,NA,,,,,,,,,
,Fuettererite,Fuettererite,,Pb^2+ Cu^2+ Te^6+ O H Cl^1-,946,NA,,,,,,,,,
,Housleyite,Housleyite,,Pb^2+ Cu^2+ Te^6+ O H,946,NA,,,,,,,,,
,Khinite,Khinite,,Cu^2+ Pb^2+ Te^6+ O H,946,NA,,,,,,,,,
,Mcalpineite,Mcalpineite,,Cu^2+ Te^6+ O,946,NA,,,,,,,,,
,Mojaveite,Mojaveite,,Cu^2+ Te^6+ O H Cl^1-,946,NA,,,,,,,,,
,Paratimroseite,Paratimroseite,,Pb^2+ Cu^2+ Te^6+ O H,946,NA,,,,,,,,,
,Pseudoboleite,Pseudoboleite,,Pb^2+ Cu^2+ Cl O H,946,NA,,,,,,,,,
,Timroseite,Timroseite,,Pb^2+ Cu^2+ Te^6+ O H,946,NA,,,,,,,,,
,Samfowlerite,Samfowlerite,,Ca Mn^2+ Zn^2+ Be Si O H,940,NA,,,,,,,,,
,Julienite,Julienite,,Na Co^2+ S^2- C N^3- H O,900,NA,,,,,,,,,
,Paramelaconite,Paramelaconite,,Cu^1+ Cu^2+ O,900,NA,,,,,,,,,
,Schuilingite-(Nd),Schuilingite-(Nd),,Cu^2+ Pb^2+ Nd^3+ C O H,900,NA,,,,,,,,,
,Vesignieite,V&#233;signi&#233;ite,,Cu^2+ Ba V^5+ O H,900,NA,,,,,,,,,
,Spencerite,Spencerite,,Zn^2+ P^5+ O H,765,NA,,,,,,,,,
,Skorpionite,Skorpionite,,Ca Zn^2+ P^5+ O C H,757.4,NA,,,,,,,,,
,Cuprobismutite,Cuprobismutite,,Cu Ag Bi S,698,NA,,,,,,,,,
,Eriochalcite,Eriochalcite,,Cu^2+ Cl H O,630,NA,,,,,,,,,
,Armbrusterite,Armbrusterite,,Na K Mn^3+ Mn^2+ Si O H,623.3,NA,,,,,,,,,
,Umohoite,Umohoite,,U^6+ O Mo^6+ H,602,NA,,,,,,,,,
,Holdawayite,Holdawayite,,Mn^2+ C O H Cl,601,NA,,,,,,,,,
,Johninnesite,Johninnesite,,Na Mn^2+ Mg As^5+ O Si H,601,NA,,,,,,,,,
,Kombatite,Kombatite,,Pb^2+ O V^5+ Cl^1-,601,NA,,,,,,,,,
,Vladkrivovichevite,Vladkrivovichevite,,Pb^2+ O Mn^2+ Cl B H,601,NA,,,,,,,,,
,Wiserite,Wiserite,,Mn^2+ B O H Si Mg Cl,601,NA,,,,,,,,,
,Lammerite,Lammerite,,Cu^2+ As^5+ O,600,NA,,,,,,,,,
,Parnauite,Parnauite,,Cu^2+ As^5+ O S^6+ H,600,NA,,,,,,,,,
,Ramsbeckite,Ramsbeckite,,Cu^2+ S^6+ O H,600,NA,,,,,,,,,
,Elyite,Elyite,,Cu^2+ Pb^2+ S^6+ O H,599,NA,,,,,,,,,
,Proudite,Proudite,,Cu Pb Bi S Se,599,NA,,,,,,,,,
,Sardignaite,Sardignaite,,Bi^3+ Mo^6+ O H,599,NA,,,,,,,,,
,Wherryite,Wherryite,,Pb^2+ Cu^2+ S^6+ O Si H,599,NA,,,,,,,,,
,Demesmaekerite,Demesmaekerite,,Pb^2+ Cu^2+ U^6+ O Se^4+ H,581,NA,,,,,,,,,
,Derriksite,Derriksite,,Cu^2+ U^6+ O Se^4+ H,581,NA,,,,,,,,,
,Marthozite,Marthozite,,Cu^2+ U^6+ O Se^4+ H,581,NA,,,,,,,,,
,Mrazekite,Mr&#225;zekite,,Bi^3+ Cu^2+ P^5+ O H,543,NA,,,,,,,,,
,Pushcharovskite,Pushcharovskite,,K Cu^2+ As^5+ O H,543,NA,,,,,,,,,
,Yvonite,Yvonite,,Cu^2+ As^5+ O H,543,NA,,,,,,,,,
,Batisivite,Batisivite,,Ba Ti^4+ V^3+ Si O,541,NA,,,,,,,,,
,Biehlite,Biehlite,,Sb^3+ Mo^6+ O,541,NA,,,,,,,,,
,Geminite,Geminite,,Cu^2+ As^5+ O H,541,NA,,,,,,,,,
,Ianbruceite,Ianbruceite,,Zn^2+ As^5+ O H,541,NA,,,,,,,,,
,Leightonite,Leightonite,,K Ca Cu^2+ S^6+ O H,541,NA,,,,,,,,,
,Leiteite,Leiteite,,Zn^2+ As^3+ O,541,NA,,,,,,,,,
,Prosperite,Prosperite,,Ca Zn^2+ As^5+ O H,541,NA,,,,,,,,,
,Queitite,Queitite,,Zn^2+ Pb^2+ Si O S^6+,541,NA,,,,,,,,,
,Stranskiite,Stranskiite,,Cu^2+ Zn^2+ As^5+ O,541,NA,,,,,,,,,
,Warikahnite,Warikahnite,,Zn^2+ As^5+ O H,541,NA,,,,,,,,,
,Zoltaiite,Zoltaiite,,Ba V^4+ V^3+ Si O,541,NA,,,,,,,,,
,Koragoite,Koragoite,,Mn^2+ Mn^3+ Nb^5+ Ta^5+ W^6+ O,520,NA,,,,,,,,,
,Russellite,Russellite,,Bi W O,520,NA,,,,,,,,,
,Namansilite,Namansilite,,Na Mn^3+ Si O,445,NA,,,,,,,,,
,Hanjiangite,Hanjiangite,,Ba Ca V^3+ Al Si O H F C,443.8,NA,,,,,,,,,
,Huemulite,Huemulite,,Na Mg V^5+ O H,443,NA,,,,,,,,,
,Grimaldiite,Grimaldiite,,Cr^3+ O H,419.2,NA,,,,,,,,,
,Reynoldsite,Reynoldsite,,Pb^2+ Mn^4+ O Cr^6+,419.2,NA,,,,,,,,,
,Kukisvumite,Kukisvumite,,Na Zn^2+ Ti^4+ O Si H,418,NA,,,,,,,,,
,Favreauite,Favreauite,,Pb^2+ Bi^3+ Cu^2+ O Se^4+ H,416,NA,,,,,,,,,
,Leogangite,Leogangite,,Cu^2+ As^5+ O S^6+ H,416,NA,,,,,,,,,
,Richelsdorfite,Richelsdorfite,,Ca Cu^2+ Sb^5+ As^5+ O H Cl,416,NA,,,,,,,,,
,Raite,Raite,,Na Mn^2+ Ti^4+ Si O H,413.6,NA,,,,,,,,,
,Bonattite,Bonattite,,Cu^2+ S^6+ O H,408,NA,,,,,,,,,
,Bottinoite,Bottinoite,,Ni^2+ Sb^5+ O H,405,NA,,,,,,,,,
,Ulrichite,Ulrichite,,Ca Cu^2+ U^6+ O P^5+ H,398,NA,,,,,,,,,
,Wooldridgeite,Wooldridgeite,,Na Ca Cu^2+ P O H,387,NA,,,,,,,,,
,Tongbaite,Tongbaite,,Cr C,385,NA,,,,,,,,,
,Belloite,Belloite,,Cu^2+ O H Cl,383,NA,,,,,,,,,
,Chenite,Chenite,,Cu^2+ Pb^2+ S^6+ O H,372,NA,,,,,,,,,
,Intersilite,Intersilite,,Na Mn^2+ Ti^4+ Nb^5+ Si O H,363,NA,,,,,,,,,
,Rouvilleite,Rouvilleite,,Na Ca Mn^2+ C O F,363,NA,,,,,,,,,
,Hummerite,Hummerite,,K Mg V^5+ O H,359,NA,,,,,,,,,
,Nevadaite,Nevadaite,,Cu^2+ Al V^3+ P O F H,359,NA,,,,,,,,,
,Surkhobite,Surkhobite,,K Ba Ca Na Mn^2+ Ti^4+ Si O H F,359,NA,,,,,,,,,
,Tienshanite,Tienshanite,,K Na Ca Ba Mn^2+ Ti^4+ B Si O H F,359,NA,,,,,,,,,
,Metakirchheimerite,Metakirchheimerite,,Co^2+ U^6+ O As^5+ H,358.9,NA,,,,,,,,,
,Chloroxiphite,Chloroxiphite,,Pb^2+ Cu^2+ O Cl H,356,NA,,,,,,,,,
,Liebauite,Liebauite,,Ca Cu^2+ Si O,354,NA,,,,,,,,,
,Muckeite,M&#252;ckeite,,Cu^1+ Ni^2+ Bi^3+ S^2-,354,NA,,,,,,,,,
,Piypite,Piypite,,K Cu^2+ O S^6+ Na Cu^1+ Cl,354,NA,,,,,,,,,
,Footemineite,Footemineite,,Ca Mn^2+ Be P O H,345,NA,,,,,,,,,
,Schlegelite,Schlegelite,,Bi^3+ O Mo^6+ As^5+,326.4,NA,,,,,,,,,
,Bariosincosite,Bariosincosite,,Ba V^4+ O P^5+ H,323.2,NA,,,,,,,,,
,Guanacoite,Guanacoite,,Cu^2+ Mg As^5+ O H,310.4,NA,,,,,,,,,
,Benavidesite,Benavidesite,,Pb^2+ Mn^2+ Sb^3+ S^2-,310,NA,,,,,,,,,
,Bandylite,Bandylite,,Cu^2+ B O H Cl,298,NA,,,,,,,,,
,Dietzeite,Dietzeite,,Ca I^5+ O Cr^6+ H,298,NA,,,,,,,,,
,Tarapacaite,Tarapac&#225;ite,,K Cr^6+ O,298,NA,,,,,,,,,
,Davreuxite,Davreuxite,,Mn^2+ Al Si O H,296,NA,,,,,,,,,
,Ichnusaite,Ichnusaite,,Th^4+ Mo^6+ O H,289.2,NA,,,,,,,,,
,Vajdakite,Vajdakite,,Mo^6+ O As^3+ H,270,NA,,,,,,,,,
,Doloresite,Doloresite,,V^4+ O H,260,NA,,,,,,,,,
,Rouxelite,Rouxelite,,Cu Hg Pb Sb S O,260,NA,,,,,,,,,
,Qusongite,Qusongite,,W C,252.1,NA,,,,,,,,,
,Henmilite,Henmilite,,Ca Cu^2+ B O H,252,NA,,,,,,,,,
,Stringhamite,Stringhamite,,Ca Cu^2+ Si O H,252,NA,,,,,,,,,
,Deloryite,Deloryite,,Cu^2+ U^6+ O Mo^6+ H,251,NA,,,,,,,,,
,Lapeyreite,Lapeyreite,,Cu^2+ O As^5+ H,251,NA,,,,,,,,,
,Rollandite,Rollandite,,Cu^2+ As^5+ O H,251,NA,,,,,,,,,
