envComp,gRMSD,valence,type,mineral,amcsdID,atomName,resNum,atomNum,chain,geo,pdb_Min,pdb_Pro
FE1O2,nan,0.89,Mineral,Arthurite,0014708,FE,19,19,A,irr,Arthurite-0014708,nan
FE1PT8,0.46,0.00,Mineral,Tetraferroplatinum,0005247,FE,0,0,A,cub,Tetraferroplatinum-0005247,nan
FE1O2,nan,0.36,Mineral,Hematite,0000143,FE,6,6,A,irr,Hematite-0000143,nan
FE1O3,nan,0.75,Mineral,Rodalquilarite,0009361,FE,12,12,A,irr,Rodalquilarite-0009361,nan
CU1O6,0.44,0.83,Mineral,Dioptase,0008642,CU,32,32,A,oct,Dioptase-0008642,nan
CU1S2,0.35,0.57,Mineral,Miharaite,0012478,CU,17,17,A,trv,Miharaite-0012478,nan
CU1O2,nan,0.35,Mineral,Kusachiite,0012142,CU,18,18,A,irr,Kusachiite-0012142,nan
FE1S2,nan,0.74,Mineral,Jamesonite,0015519,FE,45,45,A,irr,Jamesonite-0015519,nan
MN1O2,0.71,0.87,Mineral,Mozartite,0001932,MN,25,25,A,trv,Mozartite-0001932,nan
CU1S3,0.13,0.95,Mineral,Catamarcaite,0006132,CU,16,16,A,tev,Catamarcaite-0006132,nan
CU1S3,0.00,0.32,Mineral,Bornite,0003822,CU,21,21,A,tev,Bornite-0003822,nan
NI1SB6,0.30,0.00,Mineral,Breithauptite,0011581,NI,0,0,A,oct,Breithauptite-0011581,nan
NI1TE2,nan,0.56,Mineral,Imgreite,0011584,NI,2,2,A,irr,Imgreite-0011584,nan
MN1CL2,nan,0.30,Mineral,Scacchite,0011809,MN,5,5,A,irr,Scacchite-0011809,nan
NI1SB3,nan,0.00,Mineral,Zlatogorite,0018698,NI,19,19,A,irr,Zlatogorite-0018698,nan
FE1S6,0.38,0.99,Mineral,Troilite,0009769,FE,10,10,A,oct,Troilite-0009769,nan
FE1S3,nan,0.79,Mineral,Troilite,0009769,FE,22,22,A,irr,Troilite-0009769,nan
CU1PD5,nan,0.00,Mineral,Skaergaardite,0011491,CU,34,34,A,irr,Skaergaardite-0011491,nan
MN1O2,nan,1.02,Mineral,Brackebuschite,0005530,MN,24,24,A,irr,Brackebuschite-0005530,nan
NI1O3,nan,0.96,Mineral,Paganoite,0006855,NI,8,8,A,irr,Paganoite-0006855,nan
MN1O2,nan,0.76,Mineral,Manganite,0013942,MN,9,9,A,irr,Manganite-0013942,nan
NI1TE2,nan,0.64,Mineral,Melonite,0011792,NI,6,6,A,irr,Melonite-0011792,nan
NI1AS2,nan,0.60,Mineral,Nickeline,0011580,NI,3,3,A,irr,Nickeline-0011580,nan
MN1O2,nan,0.42,Mineral,Tienshanite,0005580,MN,856,856,A,irr,Tienshanite-0005580,nan
W1C3,nan,0.00,Mineral,Qusongite,0004855,W,5,5,A,irr,Qusongite-0004855,nan
W1C2,nan,0.00,Mineral,Qusongite,0004855,W,2,2,A,irr,Qusongite-0004855,nan
CU1O2,nan,0.81,Mineral,Henmilite,0001050,CU,36,36,A,irr,Henmilite-0001050,nan
MN1O2,0.75,0.75,Mineral,Ronneburgite,0002672,MN,21,21,A,trv,Ronneburgite-0002672,nan
FE1O3,nan,1.05,Mineral,Bartelkeite,0019471,FE,19,19,A,irr,Bartelkeite-0019471,nan
CO1S2,0.62,0.33,Mineral,Costibite,0005114,CO,6,6,A,trv,Costibite-0005114,nan
FE1S3,0.68,1.31,Mineral,Troilite,0009769,FE,24,24,A,tev,Troilite-0009769,nan
V1O5,nan,2.28,Mineral,Pentagonite,0019265,V,1,1,A,irr,Pentagonite-0019265,nan
CU1S4,0.01,0.34,Mineral,Briartite,0014274,CU,5,5,A,tet,Briartite-0014274,nan
FE1O6,0.49,0.37,Mineral,Schwertmannite,0018670,FE,42,42,A,oct,Schwertmannite-0018670,nan
MN1O5,nan,0.94,Mineral,Tienshanite,0005580,MN,696,696,A,irr,Tienshanite-0005580,nan
V1O5,nan,1.72,Mineral,Stibivanite,0005232,V,1,1,A,irr,Stibivanite-0005232,nan
NI1PB4S2,0.21,0.00,Mineral,Shandite,0000051,NI,6,6,A,oct,Shandite-0000051,nan
CU1O6,0.44,0.85,Mineral,Dioptase,0008642,CU,0,0,A,oct,Dioptase-0008642,nan
FE1S2,0.34,1.13,Mineral,Djerfisherite,0006153,FE,110,110,A,trv,Djerfisherite-0006153,nan
FE1CL6,0.00,0.28,Mineral,Lawrencite,0011807,FE,0,0,A,oct,Lawrencite-0011807,nan
CU1O2,0.00,0.52,Mineral,Cuprite,0007351,CU,0,0,A,lin,Cuprite-0007351,nan
CU1O2,nan,0.51,Mineral,Markascherite,0018649,CU,16,16,A,irr,Markascherite-0018649,nan
CU1O6,0.51,0.48,Mineral,Szenicsite,0014535,CU,1,1,A,oct,Szenicsite-0014535,nan
CU1AS2,0.31,0.16,Mineral,Domeykite,0010794,CU,5,5,A,trv,Domeykite-0010794,nan
NI1O2,nan,0.31,Mineral,Bunsenite,0011371,NI,10,10,A,irr,Bunsenite-0011371,nan
CO1AS6,0.27,0.83,Mineral,Skutterudite,0017723,CO,0,0,A,oct,Skutterudite-0017723,nan
FE1O4,0.15,0.85,Mineral,Hyttsjoite,0001799,FE,414,414,A,pyv,Hyttsjoite-0001799,nan
CU1O2,nan,0.37,Mineral,Diaboleite,0005469,CU,21,21,A,irr,Diaboleite-0005469,nan
FE1O4,0.53,0.37,Mineral,Schwertmannite,0018670,FE,90,90,A,pyv,Schwertmannite-0018670,nan
NI1S4,0.48,0.45,Mineral,Heazlewoodite,0000575,NI,3,3,A,tet,Heazlewoodite-0000575,nan
FE1O2,nan,0.74,Mineral,Schwertmannite,0018670,FE,58,58,A,irr,Schwertmannite-0018670,nan
FE1S2,0.34,1.13,Mineral,Djerfisherite,0006153,FE,105,105,A,trv,Djerfisherite-0006153,nan
CU1O6,0.03,0.56,Mineral,Metazeunerite,0005833,CU,2,2,A,oct,Metazeunerite-0005833,nan
MN1O2,nan,0.59,Mineral,Spiroffite,0005504,MN,16,16,A,irr,Spiroffite-0005504,nan
NI1SB3,nan,0.00,Mineral,Zlatogorite,0018698,NI,28,28,A,irr,Zlatogorite-0018698,nan
NI1SB3,nan,0.00,Mineral,Zlatogorite,0018698,NI,27,27,A,irr,Zlatogorite-0018698,nan
FE1O6,0.37,1.89,Mineral,Rodalquilarite,0009361,FE,0,0,A,oct,Rodalquilarite-0009361,nan
CU1O2,nan,0.42,Mineral,Murdochite,0009907,CU,22,22,A,irr,Murdochite-0009907,nan
FE1O2,0.76,0.28,Mineral,Ilmenite,0000925,FE,9,9,A,trv,Ilmenite-0000925,nan
V1O4,0.20,5.23,Mineral,Kombatite,0001661,V,22,22,A,tet,Kombatite-0001661,nan
W1S2,0.28,2.92,Mineral,Catamarcaite,0006132,W,19,19,A,trv,Catamarcaite-0006132,nan
W1C2,nan,0.00,Mineral,Qusongite,0004855,W,8,8,A,irr,Qusongite-0004855,nan
CU1S2,0.42,0.34,Mineral,Sulvanite,0000146,CU,10,10,A,trv,Sulvanite-0000146,nan
FE1O6,0.08,0.95,Mineral,Beaverite,0014860,FE,8,8,A,oct,Beaverite-0014860,nan
CU1S2,0.28,0.32,Mineral,Bornite,0003822,CU,31,31,A,trv,Bornite-0003822,nan
CU1O6,0.19,0.83,Mineral,Markascherite,0018649,CU,2,2,A,oct,Markascherite-0018649,nan
NI1SB6,0.44,0.00,Mineral,Zlatogorite,0018698,NI,4,4,A,oct,Zlatogorite-0018698,nan
NI1TE3,0.57,0.56,Mineral,Imgreite,0011584,NI,4,4,A,tev,Imgreite-0011584,nan
FE1O2,nan,0.69,Mineral,Nikischerite,0005826,FE,28,28,A,irr,Nikischerite-0005826,nan
V1O6,0.20,0.68,Mineral,Coulsonite,0015774,V,2,2,A,oct,Coulsonite-0015774,nan
MN1O2,nan,0.18,Mineral,Calderite,0018998,MN,25,25,A,irr,Calderite-0018998,nan
FE1O6,0.26,3.00,Mineral,Sewardite,0005788,FE,22,22,A,oct,Sewardite-0005788,nan
V1O2,0.26,1.46,Mineral,Vesignieite,0011973,V,23,23,A,trv,Vesignieite-0011973,nan
CU1PD5,nan,0.00,Mineral,Skaergaardite,0011491,CU,28,28,A,irr,Skaergaardite-0011491,nan
MN1O2,nan,0.41,Mineral,Pyrophanite,0007448,MN,18,18,A,irr,Pyrophanite-0007448,nan
CU1O4,0.21,0.77,Mineral,Boleite,0005684,CU,165,165,A,spl,Boleite-0005684,nan
CU1O3,nan,0.86,Mineral,Szenicsite,0014535,CU,39,39,A,irr,Szenicsite-0014535,nan
MN1S2,nan,0.35,Mineral,Alabandite,0007512,MN,3,3,A,irr,Alabandite-0007512,nan
MN1O6,0.18,1.62,Mineral,Brackebuschite,0005530,MN,5,5,A,oct,Brackebuschite-0005530,nan
FE1CL2,nan,0.28,Mineral,Lawrencite,0011807,FE,5,5,A,irr,Lawrencite-0011807,nan
MN1O2,nan,0.26,Mineral,Calderite,0018998,MN,23,23,A,irr,Calderite-0018998,nan
CU1CL2O4,0.16,0.46,Mineral,Haydeeite,0009948,CU,0,0,A,oct,Haydeeite-0009948,nan
V1O2,nan,0.70,Mineral,Haggite,0000094,V,11,11,A,irr,Haggite-0000094,nan
CU1PD4,0.88,0.00,Mineral,Skaergaardite,0011491,CU,12,12,A,bva,Skaergaardite-0011491,nan
FE1S4,0.11,1.37,Mineral,Rasvumite,0000782,FE,1,1,A,tet,Rasvumite-0000782,nan
CO1S2,nan,0.38,Mineral,Cobaltite,0005243,CO,9,9,A,irr,Cobaltite-0005243,nan
CU1S3,nan,0.20,Mineral,Djerfisherite,0006153,CU,120,120,A,irr,Djerfisherite-0006153,nan
CU1O2,nan,0.75,Mineral,Deloryite,0012779,CU,31,31,A,irr,Deloryite-0012779,nan
FE1O2,0.77,0.37,Mineral,Schafarzikite,0015656,FE,7,7,A,trv,Schafarzikite-0015656,nan
CU1O5,nan,1.24,Mineral,Blossite,0001075,CU,0,0,A,irr,Blossite-0001075,nan
FE1S2,0.34,1.13,Mineral,Djerfisherite,0006153,FE,83,83,A,trv,Djerfisherite-0006153,nan
FE1O6,0.19,0.34,Mineral,Ferrotychite,0012463,FE,16,16,A,oct,Ferrotychite-0012463,nan
FE1S2,0.34,1.13,Mineral,Djerfisherite,0006153,FE,101,101,A,trv,Djerfisherite-0006153,nan
MO1O2,0.51,1.29,Mineral,Kamiokite,0010022,MO,22,22,A,trv,Kamiokite-0010022,nan
NI1O6,0.21,2.84,Mineral,Morenosite,0010551,NI,0,0,A,oct,Morenosite-0010551,nan
CU1AS2CL2,0.66,0.49,Mineral,Freedite,0014613,CU,11,11,A,pyv,Freedite-0014613,nan
CU1SB2,nan,0.00,Mineral,Zlatogorite,0018698,CU,9,9,A,irr,Zlatogorite-0018698,nan
FE1O6,0.49,0.50,Mineral,Schwertmannite,0018670,FE,19,19,A,oct,Schwertmannite-0018670,nan
CU1PD8,0.00,0.00,Mineral,Skaergaardite,0011491,CU,2,2,A,cub,Skaergaardite-0011491,nan
FE1O6,0.26,2.99,Mineral,Carminite,0014520,FE,22,22,A,oct,Carminite-0014520,nan
CU1O2,0.56,0.51,Mineral,Nissonite,0001329,CU,11,11,A,trv,Nissonite-0001329,nan
W1S4,0.00,2.92,Mineral,Catamarcaite,0006132,W,1,1,A,tet,Catamarcaite-0006132,nan
FE1O2,nan,0.48,Mineral,Calderite,0018998,FE,57,57,A,irr,Calderite-0018998,nan
FE1O6,0.50,0.23,Mineral,Schwertmannite,0018670,FE,37,37,A,oct,Schwertmannite-0018670,nan
FE1O3,0.65,4.23,Mineral,Strontio-orthojoaquinite,0014113,FE,152,152,A,spv,Strontio-orthojoaquinite-0014113,nan
MO1O2,nan,0.87,Mineral,Iriginite,0005691,MO,15,15,A,irr,Iriginite-0005691,nan
CU1O2,nan,0.42,Mineral,Murdochite,0009907,CU,26,26,A,irr,Murdochite-0009907,nan
CU1S4,0.13,0.95,Mineral,Catamarcaite,0006132,CU,14,14,A,tet,Catamarcaite-0006132,nan
FE1SI3,nan,0.00,Mineral,Fersilicite,0018180,FE,3,3,A,irr,Fersilicite-0018180,nan
CU1O6,0.40,0.66,Mineral,Deloryite,0012779,CU,0,0,A,oct,Deloryite-0012779,nan
MN1O6,0.37,1.36,Mineral,Langbanshyttanite,0018642,MN,1,1,A,oct,Langbanshyttanite-0018642,nan
CU1CL2,nan,0.33,Mineral,Tolbachite,0001544,CU,3,3,A,irr,Tolbachite-0001544,nan
FE1O4,0.05,0.34,Mineral,Brunogeierite,0014558,FE,28,28,A,pyv,Brunogeierite-0014558,nan
FE1S3,nan,0.66,Mineral,Troilite,0009769,FE,26,26,A,irr,Troilite-0009769,nan
FE1S6,0.20,0.74,Mineral,Jamesonite,0015519,FE,10,10,A,oct,Jamesonite-0015519,nan
FE1O3,nan,0.34,Mineral,Ferrotychite,0012463,FE,81,81,A,irr,Ferrotychite-0012463,nan
NI1SB2,nan,0.00,Mineral,Breithauptite,0011581,NI,7,7,A,irr,Breithauptite-0011581,nan
MN1O2,nan,0.41,Mineral,Pyrophanite,0007448,MN,17,17,A,irr,Pyrophanite-0007448,nan
FE1O3,nan,1.01,Mineral,Nikischerite,0005826,FE,32,32,A,irr,Nikischerite-0005826,nan
FE1O3,nan,0.91,Mineral,Natrojarosite,0020119,FE,28,28,A,irr,Natrojarosite-0020119,nan
MN1O6,0.30,1.20,Mineral,Groutellite,0003566,MN,0,0,A,oct,Groutellite-0003566,nan
V1O5,nan,2.23,Mineral,Cavansite,0019718,V,0,0,A,irr,Cavansite-0019718,nan
FE1S4,0.23,1.82,Mineral,Djerfisherite,0006153,FE,54,54,A,tet,Djerfisherite-0006153,nan
FE1S4,0.23,1.82,Mineral,Djerfisherite,0006153,FE,34,34,A,tet,Djerfisherite-0006153,nan
CU1O3,nan,0.83,Mineral,Housleyite,0017559,CU,87,87,A,irr,Housleyite-0017559,nan
MN1O2,nan,0.29,Mineral,Spessartine,0002781,MN,44,44,A,irr,Spessartine-0002781,nan
CU1S4,0.00,0.34,Mineral,Cuprokalininite,0018335,CU,0,0,A,tet,Cuprokalininite-0018335,nan
NI1PB2S1,0.72,0.00,Mineral,Shandite,0000051,NI,20,20,A,tev,Shandite-0000051,nan
FE1O2,nan,0.96,Mineral,Chapmanite,0015317,FE,15,15,A,irr,Chapmanite-0015317,nan
MN1O2,nan,0.74,Mineral,Ramsdellite,0003565,MN,6,6,A,irr,Ramsdellite-0003565,nan
MO1O4,0.13,1.19,Mineral,Powellite,0013207,MO,0,0,A,tet,Powellite-0013207,nan
FE1S2,0.34,1.13,Mineral,Djerfisherite,0006153,FE,115,115,A,trv,Djerfisherite-0006153,nan
FE1O4,0.02,1.01,Mineral,Stewartite,0000432,FE,14,14,A,spl,Stewartite-0000432,nan
FE1O3,nan,0.34,Mineral,Brunogeierite,0014558,FE,22,22,A,irr,Brunogeierite-0014558,nan
FE1O4,0.00,0.66,Mineral,Magnetite,0007418,FE,0,0,A,tet,Magnetite-0007418,nan
MN1O6,0.59,1.46,Mineral,Spiroffite,0005504,MN,12,12,A,oct,Spiroffite-0005504,nan
CU1O3,nan,0.86,Mineral,Agaite,0019782,CU,21,21,A,irr,Agaite-0019782,nan
CU1O6,0.44,0.85,Mineral,Dioptase,0008642,CU,40,40,A,oct,Dioptase-0008642,nan
NI1PB2S1,0.72,0.00,Mineral,Shandite,0000051,NI,29,29,A,tev,Shandite-0000051,nan
MN1S6,0.12,0.37,Mineral,Hauerite,0010545,MN,2,2,A,oct,Hauerite-0010545,nan
NI1S2,nan,0.44,Mineral,Violarite,0001000,NI,24,24,A,irr,Violarite-0001000,nan
FE1O2,nan,0.42,Mineral,Magnetite,0007418,FE,23,23,A,irr,Magnetite-0007418,nan
MN1O2,nan,0.40,Mineral,Groutellite,0003566,MN,6,6,A,irr,Groutellite-0003566,nan
CU1O2,nan,0.42,Mineral,Szenicsite,0014535,CU,34,34,A,irr,Szenicsite-0014535,nan
FE1O2,0.74,0.34,Mineral,Brunogeierite,0014558,FE,24,24,A,trv,Brunogeierite-0014558,nan
CU1PD5,nan,0.00,Mineral,Skaergaardite,0011491,CU,14,14,A,irr,Skaergaardite-0011491,nan
CU1O2,nan,0.67,Mineral,Vesignieite,0011973,CU,22,22,A,irr,Vesignieite-0011973,nan
FE1PT8,0.46,0.00,Mineral,Tetraferroplatinum,0005247,FE,24,24,A,cub,Tetraferroplatinum-0005247,nan
CU1O2,nan,0.48,Mineral,Ashburtonite,0001412,CU,46,46,A,irr,Ashburtonite-0001412,nan
CO1S1SB1,0.60,0.00,Mineral,Paracostibite,0005115,CO,6,6,A,trv,Paracostibite-0005115,nan
CU1CL2,0.54,0.71,Mineral,Chlorothionite,0010784,CU,10,10,A,trv,Chlorothionite-0010784,nan
MN1S2,nan,0.66,Mineral,Clerite,0010988,MN,7,7,A,irr,Clerite-0010988,nan
CU1O2,nan,0.58,Mineral,Wherryite,0005365,CU,50,50,A,irr,Wherryite-0005365,nan
NI1SB3,nan,0.00,Mineral,Zlatogorite,0018698,NI,20,20,A,irr,Zlatogorite-0018698,nan
MN1O2,nan,1.29,Mineral,Chalcophanite,0001204,MN,24,24,A,irr,Chalcophanite-0001204,nan
MN1O3S1,0.28,1.11,Mineral,Helvine,0000973,MN,22,22,A,tet,Helvine-0000973,nan
NI1O2,nan,0.31,Mineral,Bunsenite,0011371,NI,6,6,A,irr,Bunsenite-0011371,nan
CU1O6,0.67,0.91,Mineral,Nissonite,0001329,CU,0,0,A,oct,Nissonite-0001329,nan
FE1O5,0.17,2.72,Mineral,Strunzite,0015670,FE,2,2,A,spy,Strunzite-0015670,nan
W1C2,nan,0.00,Mineral,Qusongite,0004855,W,3,3,A,irr,Qusongite-0004855,nan
FE1S2,0.34,1.13,Mineral,Djerfisherite,0006153,FE,84,84,A,trv,Djerfisherite-0006153,nan
NI1O2,nan,0.27,Mineral,Theophrastite,0011791,NI,5,5,A,irr,Theophrastite-0011791,nan
FE1O2,nan,0.32,Mineral,Wustite,0011314,FE,8,8,A,irr,Wustite-0011314,nan
CU1S4,0.16,1.91,Mineral,Seligmannite,0010715,CU,3,3,A,tet,Seligmannite-0010715,nan
CU1O2,nan,0.73,Mineral,Markascherite,0018649,CU,26,26,A,irr,Markascherite-0018649,nan
MO1O5,nan,5.28,Mineral,Iriginite,0005691,MO,8,8,A,irr,Iriginite-0005691,nan
FE1O2,nan,0.37,Mineral,Goethite,0010471,FE,8,8,A,irr,Goethite-0010471,nan
V1O2,0.29,1.83,Mineral,Ronneburgite,0002672,V,24,24,A,trv,Ronneburgite-0002672,nan
MO1O6,0.38,2.25,Mineral,Kamiokite,0010022,MO,10,10,A,oct,Kamiokite-0010022,nan
NI1PB2S1,0.72,0.00,Mineral,Shandite,0000051,NI,25,25,A,tev,Shandite-0000051,nan
MN1O6,0.47,1.02,Mineral,Shigaite,0005480,MN,31,31,A,oct,Shigaite-0005480,nan
CU1O6,0.27,0.49,Mineral,Szenicsite,0014535,CU,61,61,A,oct,Szenicsite-0014535,nan
FE1O6,0.48,0.28,Mineral,Ilmenite,0000925,FE,0,0,A,oct,Ilmenite-0000925,nan
CU1PD7,0.00,0.00,Mineral,Skaergaardite,0011491,CU,17,17,A,cuv,Skaergaardite-0011491,nan
FE1O2,nan,0.77,Mineral,Sewardite,0005788,FE,40,40,A,irr,Sewardite-0005788,nan
FE1O2,0.63,0.64,Mineral,Schoonerite,0000562,FE,26,26,A,trv,Schoonerite-0000562,nan
MN1O3,nan,0.77,Mineral,Jouravskite,0009362,MN,10,10,A,irr,Jouravskite-0009362,nan
CU1O2,nan,0.39,Mineral,Roubaultite,0010005,CU,38,38,A,irr,Roubaultite-0010005,nan
FE1S2,0.34,1.13,Mineral,Djerfisherite,0006153,FE,112,112,A,trv,Djerfisherite-0006153,nan
MN1O2,nan,0.73,Mineral,Davreuxite,0000955,MN,31,31,A,irr,Davreuxite-0000955,nan
FE1O6,0.26,3.00,Mineral,Sewardite,0005788,FE,15,15,A,oct,Sewardite-0005788,nan
MN1O6,0.20,1.24,Mineral,Varennesite,0005463,MN,84,84,A,oct,Varennesite-0005463,nan
NI1O2,nan,0.27,Mineral,Theophrastite,0011791,NI,3,3,A,irr,Theophrastite-0011791,nan
CU1O4,0.28,1.20,Mineral,Lithidionite,0000464,CU,43,43,A,pyv,Lithidionite-0000464,nan
FE1S4,0.23,1.82,Mineral,Djerfisherite,0006153,FE,51,51,A,tet,Djerfisherite-0006153,nan
CU1S2,0.42,0.34,Mineral,Sulvanite,0000146,CU,9,9,A,trv,Sulvanite-0000146,nan
CU1S4,0.16,0.87,Mineral,Miharaite,0012478,CU,2,2,A,tet,Miharaite-0012478,nan
