,index,envComp,geo,gRMSD,valence,type,pdb,Binding_motif,minCoLoc
21,328,MO1O4,tet,0.21020889081525018,1.891378392131575,"Mineral,Protein","['1h9j', '2h5y', '4hi1', 'Lindgrenite-0014795', 'Markascherite-0018649', 'Powellite-0013207', 'Szenicsite-0014535', 'Wulfenite-0014900']","[248, 505, 963]","['Lindgrenite-0014795', 'Markascherite-0018649', 'Powellite-0013207', 'Szenicsite-0014535', 'Wulfenite-0014900']"
22,329,MO1O5,tbp,0.05773502691896257,1.2413030787576953,"Mineral,Protein","['4brf', 'Deloryite-0012779']",[1384],['Deloryite-0012779']
23,330,MO1O6,oct,0.15964245765370277,1.6848691131869646,"Mineral,Protein","['3k6w', 'Iriginite-0005691', 'Kamiokite-0010022', 'Sardignaite-0017091', 'Tugarinovite-0011769']",[963],"['Iriginite-0005691', 'Kamiokite-0010022', 'Sardignaite-0017091', 'Tugarinovite-0011769']"
24,397,NI1S2,trv,0.07846442930823282,0.06892830413633512,"Mineral,Protein","['4df0', 'Heazlewoodite-0000575', 'Vaesite-0010990']",[1207],"['Heazlewoodite-0000575', 'Vaesite-0010990']"
25,399,NI1S4,pyv,0.18384776310850234,0.042426406871192854,"Mineral,Protein","['4ci0', 'Violarite-0001000']",[41],['Violarite-0001000']
26,400,NI1S4,tet,0.10999999999999999,0.07499999999999998,"Mineral,Protein","['1zvf', 'Heazlewoodite-0000575']",[24],['Heazlewoodite-0000575']
27,417,V1O4,tet,0.061808113666247395,1.4634479464735968,"Mineral,Protein","['1rxs', '1uzi', '2azd', '2hy3', '2qwm', '5bzx', 'Alvanite-0014847', 'Blossite-0001075', 'Brackebuschite-0005530', 'Descloizite-0009663', 'Dreyerite-0014769', 'Gurimite-0010708', 'Kombatite-0001661', 'Leningradite-0006144', 'Mottramite-0005468', 'Namibite-0002512', 'Pucherite-0012027', 'Pyrobelonite-0000071', 'Ronneburgite-0002672', 'Schubnelite-0002221', 'Turanite-0005935', 'Vanadinite-0014110', 'Vesignieite-0011973', 'Volborthite-0018666']","[294, 609, 715, 736, 1536]","['Alvanite-0014847', 'Blossite-0001075', 'Brackebuschite-0005530', 'Descloizite-0009663', 'Dreyerite-0014769', 'Gurimite-0010708', 'Kombatite-0001661', 'Leningradite-0006144', 'Mottramite-0005468', 'Namibite-0002512', 'Pucherite-0012027', 'Pyrobelonite-0000071', 'Ronneburgite-0002672', 'Schubnelite-0002221', 'Turanite-0005935', 'Vanadinite-0014110', 'Vesignieite-0011973', 'Volborthite-0018666']"
28,419,V1O5,tbp,0.10625441167311594,0.8927261618211935,"Mineral,Protein","['1bo6', '1lkx', '1qvi', '2d1g', '2gso', '3e81', '3zwu', '4e7s', 'Curienite-0012133']","[184, 464, 467, 750, 1058, 1434]",['Curienite-0012133']
29,429,W1O4,tet,0.03557545007756534,3.9769078996989293,"Mineral,Protein","['1atg', '1ckj', '1e3p', '1fez', '1fr3', '1j9k', '1ohd', '1u7p', '1ytw', '1z7m', '2i6m', '2ivo', '4ggk', '4rxl', 'Scheelite-0013201', 'Stolzite-0012777']","[179, 248, 340, 581, 584, 675, 749, 844, 861, 950, 1121, 1179, 1221, 1306, 1326, 1624]","['Scheelite-0013201', 'Stolzite-0012777']"
30,431,W1O6,oct,0.06112394347274344,0.63271150737415,"Mineral,Protein","['1i94', 'Ferberite-0000231', 'Raspite-0009580', 'Tungstite-0005199']","[137, 142, 801, 822, 897, 1069, 1169, 1304, 1404]","['Ferberite-0000231', 'Raspite-0009580', 'Tungstite-0005199']"
