,index,envComp,geo,gRMSD,valence,type,pdb,Binding_motif
12,499,FE1O2,trv,0.2260058144530691,0.3027655908546772,"Mineral,Protein","['1dyt', '1n1q', '1tko', '2fjc', '2jd7', '2wtl', '3bvf', '3bvi', '3bvk', '3bvl', '3cr9', '3egm', '3fmu', '3nte', '3odb', '3qb9', '3rgd', '4iwk', '4m32', '4mjy', '4toa', '4toc', '4toe', '4toh', '4xiy', '4zkh', '4zl5', '4zlw', '4zmc', '5d8p', '5d8y', 'Arthurite-0014708', 'Brunogeierite-0014558', 'Butlerite-0000232', 'Corkite-0014810', 'Danalite-0005895', 'Fibroferrite-0015680', 'Guildite-0000661', 'Hentschelite-0010052', 'Hydroniumjarosite-0008878', 'Ilmenite-0000925', 'Kamiokite-0010022', 'Natrojarosite-0020119', 'Ojuelaite-0014519', 'Ominelite-0004355', 'Parabutlerite-0012131', 'Paulkellerite-0001191', 'Penobsquisite-0005500', 'Plumbojarosite-0005207', 'Pseudolaueite-0000193', 'Rodalquilarite-0009361', 'Schafarzikite-0015656', 'Schoonerite-0000562', 'Stewartite-0000432', 'Strontio-orthojoaquinite-0014113', 'Ungemachite-0001035', 'Wilhelmkleinite-0011085']","15.0,22.0,72.0,134.0,189.0,283.0,397.0,405.0,627.0,910.0,932.0,1076.0,1174.0,1181.0,1209.0,1409.0,1451.0"
13,501,FE1O3,spv,0.18149839301400625,1.0713975297090559,"Mineral,Protein","['1sq3', '3fm6', '3qb9', '3rgd', '4isp', '4iwk', '4rc6', '4toa', '4toe', '4zkh', '4zkw', '4zkx', '4zl5', '4zlw', '5d8p', 'Strontio-orthojoaquinite-0014113']","15.0,313.0,397.0,479.0,1080.0,1174.0,1294.0,1301.0"
14,502,FE1O3,tev,0.1285714407814402,0.31853510855887673,"Mineral,Protein","['1si1', '2wtl', '3bvi', '3bvl', '3qb9', '4mdz', '4toa', '4toc', '4toe', '4zkh', '4zlw', '5d8p', 'Danalite-0005895', 'Segelerite-0000583']","15.0,189.0,301.0,397.0,405.0,910.0"
15,507,FE1O4,pyv,0.2235525060992545,0.46224058914451,"Mineral,Protein","['1oqu', '1qvs', '1sq3', '2jd8', '2o6a', '3e6s', '3fkg', '3fm6', '3rbc', '3wpm', '4isp', '4toe', '4toh', '4xiy', '4zl6', '4zlw', '5d8y', 'Beaverite-0014860', 'Brunogeierite-0014558', 'Calderite-0018998', 'Hyttsjoite-0001799', 'Jarosite-0014420', 'Magnetite-0007418', 'Natrojarosite-0020119', 'Nikischerite-0005826', 'Schwertmannite-0018670', 'Ungemachite-0001035']","15.0,22.0,74.0,189.0,313.0,434.0,910.0,958.0,1076.0,1409.0"
16,508,FE1O4,spl,0.161166723127568,0.33333718388580585,"Mineral,Protein","['3e6s', '4itw', '4toa', '4zkw', '4zkx', '4zl5', '4zl6', '5d8y', 'Gillespite-0000897', 'Paravauxite-0014737', 'Stewartite-0000432']","15.0,760.0,910.0,1301.0"
17,509,FE1O4,tet,0.3196645969535171,0.16360706808470327,"Mineral,Protein","['3bvi', '3egm', '4toc', 'Coulsonite-0015774', 'Kamiokite-0010022', 'Magnetite-0007418']",15.0
18,510,FE1O5,spy,0.16129391125039907,0.9750988370085792,"Mineral,Protein","['1kmp', '1oqu', '1qw0', '1sq3', '2o68', '4toe', '4zl5', '4zl6', '5d8y', 'Natrojarosite-0020119', 'Parabutlerite-0012131', 'Pseudolaueite-0000193', 'Ransomite-0000203', 'Schoonerite-0000562', 'Strunzite-0015670']","15.0,107.0,189.0,313.0,323.0,910.0,1274.0"
19,518,FE1O6,oct,0.1726886984582611,0.8259358516437827,"Mineral,Protein","['1oqu', '1qw0', '1sq3', '2ows', '2yjk', '3cmp', '3e6s', '3hwe', '3hwf', '3ks5', '3u0d', '3zwu', '4a9v', '4a9x', '4alf', '4amf', '4e1h', '4mcw', '4oyn', '4ykh', '4zjk', 'Amakinite-0011783', 'Anapaite-0012067', 'Arthurite-0014708', 'Bartelkeite-0019471', 'Beaverite-0014860', 'Bismutoferrite-0015576', 'Brunogeierite-0014558', 'Butlerite-0000232', 'Calderite-0018998', 'Carminite-0014520', 'Chapmanite-0015317', 'Corkite-0014810', 'Delafossite-0000018', 'Ferberite-0000231', 'Ferrocarpholite-0017757', 'Ferrotychite-0012463', 'Fibroferrite-0015680', 'Goethite-0010471', 'Goldichite-0000264', 'Guildite-0000661', 'Hedenbergite-0001861', 'Hematite-0000143', 'Hentschelite-0010052', 'Hydroniumjarosite-0008878', 'Hyttsjoite-0001799', 'Ilmenite-0000925', 'Jarosite-0014420', 'Kamiokite-0010022', 'Krausite-0001008', 'Laueite-0000140', 'Lepidocrocite-0011833', 'Magnetite-0007418', 'Mawbyite-0014531', 'Metakahlerite-0005992', 'Metasideronatrite-0005014', 'Natrojarosite-0020119', 'Nikischerite-0005826', 'Ojuelaite-0014519', 'Paulkellerite-0001191', 'Phosphophyllite-0000588', 'Phosphosiderite-0012325', 'Plumbojarosite-0005207', 'Radovanite-0012037', 'Rodalquilarite-0009361', 'Schafarzikite-0015656', 'Schoonerite-0000562', 'Schubnelite-0002221', 'Schwertmannite-0018670', 'Scorodite-0018660', 'Segelerite-0000583', 'Sewardite-0005788', 'Siderite-0000101', 'Sideronatrite-0020665', 'Stewartite-0000432', 'Stottite-0019858', 'Strengite-0012324', 'Ungemachite-0001035', 'Wilhelmkleinite-0011085', 'Wustite-0011314', 'Yavapaiite-0000295']","15.0,156.0,178.0,189.0,301.0,323.0,416.0,707.0,896.0,958.0"
20,524,FE1S2,trv,0.10449312278341623,0.3417860643852104,"Mineral,Protein","['1bcc', '1dox', '1doy', '1l0n', '1l6u', '1sqb', '1sqp', '4eia', '4rap', '4rb4', 'Arsenopyrite-0019195', 'Bornite-0003822', 'Cubanite-0001533', 'Djerfisherite-0006153', 'Erdite-0000785', 'Gudmundite-0000020', 'Marcasite-0000008', 'Miharaite-0012478', 'Picotpaulite-0011971', 'Pyrite-0000605', 'Rasvumite-0000782', 'Sternbergite-0014818', 'Troilite-0009769']","4.0,24.0,326.0,541.0"
21,526,FE1S3,tev,0.14583306592211787,0.6559740309043788,"Mineral,Protein","['1fp4', '1fxa', '1g20', '1g21', '1gt8', '1gth', '1h1l', '1m1y', '1m34', '1mio', '1n2c', '1ntk', '1ntz', '1qgu', '1qh1', '1qh8', '1sqb', '1sqp', '1sqq', '1su6', '1su7', '1su8', '1suf', '1tv7', '1tv8', '2ckj', '2fb2', '2fb3', '2fja', '2hre', '2min', '2o01', '2vdc', '2w54', '2w55', '2wsc', '2yiv', '3aeu', '3b51', '3b52', '3b53', '3i39', '3j16', '3k1a', '3ke9', '3lw5', '3min', '3mm7', '3mm8', '3mma', '3mmb', '3mmc', '3pdi', '3rf9', '4crm', '4eia', '4g9p', '4jy8', '4m7s', '4pl2', '4rap', '4rb4', '4rku', '4rtb', '4udx', '4udy', '4uhw', '4uhx', '4y28', '4yrw', '4ytz', 'Bornite-0003822', 'Miharaite-0012478', 'Rasvumite-0000782', 'Troilite-0009769']","4.0,7.0,24.0,59.0,75.0,80.0,81.0,124.0,211.0,254.0,326.0,440.0,541.0,551.0,765.0,856.0"
