Troilite_0009769.Fe_25_25_A.irr.pdb,FE,S,2.56,FE,S1,1.0,1.0,UNK,UNK,25,1,A, 
Campigliaite_0000866.Cu3_2_2_A.oct.pdb,CU,O,2.41,CU3,O3,1.0,1.0,UNK,UNK,2,8,A, 
Strontio-orthojoaquinite_0014113.Fe_41_41_A.irr.pdb,FE,O,2.17,FE,O18,1.0,1.0,UNK,UNK,41,129,A, 
Djerfisherite_0006153.Fe_12_12_A.tet.pdb,FE,S,2.26,FE,S4,1.0,1.0,UNK,UNK,12,13,A, 
Ransomite_0000203.Cu_11_11_A.spv.pdb,CU,O,2.44,CU,O8,1.0,1.0,UNK,UNK,11,5,A, 
Gladite_0006075.Cu_0_0_A.tet.pdb,CU,S,2.35,CU,S33,1.0,1.0,UNK,UNK,0,3,A, 
Radovanite_0012037.Cu_11_11_A.spy.pdb,CU,O,1.97,CU,O2,1.0,1.0,UNK,UNK,11,24,A, 
Strontio-orthojoaquinite_0014113.Fe_41_41_A.irr.pdb,FE,O,2.1,FE,O11,1.0,1.0,UNK,UNK,41,24,A, 
Auricupride_0011894.Cu_19_19_A.spv.pdb,CU,AU,2.64,CU,AU,1.0,1.0,UNK,UNK,19,2,A, 
Djerfisherite_0006153.Fe_12_12_A.tet.pdb,FE,S,2.34,FE,S3,1.0,1.0,UNK,UNK,12,14,A, 
Corkite_0014810.Fe_10_10_A.oct.pdb,FE,O,1.98,FE,O2P,1.0,1.0,UNK,UNK,10,13,A, 
Radovanite_0012037.Cu_11_11_A.spy.pdb,CU,O,1.89,CU,O3,1.0,1.0,UNK,UNK,11,27,A, 
Campigliaite_0000866.Cu3_2_2_A.oct.pdb,CU,O,1.83,CU3,O7,1.0,1.0,UNK,UNK,2,12,A, 
Hyttsjoite_0001799.Mn_142_142_A.oct.pdb,MN,O,2.16,MN,O2,1.0,1.0,UNK,UNK,142,281,A, 
Gladite_0006075.Cu_0_0_A.tet.pdb,CU,S,2.43,CU,S12,1.0,1.0,UNK,UNK,0,2,A, 
Trippkeite_0015655.Cu_16_16_A.pyv.pdb,CU,O,2.47,CU,O1,1.0,1.0,UNK,UNK,16,8,A, 
Hyttsjoite_0001799.Mn_142_142_A.oct.pdb,MN,O,2.18,MN,O14,1.0,1.0,UNK,UNK,142,312,A, 
Corkite_0014810.Fe_10_10_A.oct.pdb,FE,O,1.95,FE,O-H2,1.0,1.0,UNK,UNK,10,33,A, 
Trippkeite_0015655.Cu_16_16_A.pyv.pdb,CU,O,1.95,CU,O2,1.0,1.0,UNK,UNK,16,28,A, 
Radovanite_0012037.Cu_11_11_A.spy.pdb,CU,O,1.99,CU,O5,1.0,1.0,UNK,UNK,11,30,A, 
Manganite_0013942.Mn_8_8_A.irr.pdb,MN,O,1.98,MN,O1,1.0,1.0,UNK,UNK,8,5,A, 
Groutite_0013941.Mn_4_4_A.irr.pdb,MN,O,1.89,MN,O1,1.0,1.0,UNK,UNK,4,3,A, 
Corkite_0014810.Fe_10_10_A.oct.pdb,FE,O,2.07,FE,O2S,1.0,1.0,UNK,UNK,10,36,A, 
Gladite_0006075.Cu_0_0_A.tet.pdb,CU,S,2.32,CU,S21,1.0,1.0,UNK,UNK,0,1,A, 
Raspite_0009580.W_1_1_A.oct.pdb,W,O,1.97,W,O2,1.0,1.0,UNK,UNK,1,2,A, 
Campigliaite_0000866.Cu3_2_2_A.oct.pdb,CU,O,1.98,CU3,O1,1.0,1.0,UNK,UNK,2,6,A, 
Bornite_0003822.Fe_41_41_A.trv.pdb,FE,S,2.32,FE,S,1.0,1.0,UNK,UNK,41,48,A, 
Groutite_0013941.Mn_4_4_A.irr.pdb,MN,O,1.97,MN,O2,1.0,1.0,UNK,UNK,4,9,A, 
Ashburtonite_0001412.Cu_48_48_A.irr.pdb,CU,O,1.97,CU,O2,1.0,1.0,UNK,UNK,48,4,A, 
Molybdenite_0011823.Mo_3_3_A.irr.pdb,MO,S,2.35,MO,S,1.0,1.0,UNK,UNK,3,2,A, 
